word,attr,score
chronic,a,-0.1534090909090909
degenerative,a,-0.375
virulent,a,-0.2181818181818182
highly_infective,a,-0.25
deadly,a,-0.16537564728607174
avirulent,a,-0.875
adaptive,a,0.25
adaptative,a,0.25
reconciling,a,0.5
adaptational,a,0.0
adjustive,a,0.5
maladaptive,a,0.125
nonadaptive,a,0.0
dysfunctional,a,0.0
maladjustive,a,0.125
addicted,a,0.0
alcoholic,a,0.0
alcohol-dependent,a,0.0
strung-out,a,0.0
hooked,a,0.022727272727272728
drug-addicted,a,0.0
dependent,a,-0.07111935683364257
dependant,a,0.0
unaddicted,a,-0.125
clean,a,0.046070529851964234
habit-forming,a,-0.625
addictive,a,-0.625
nonaddictive,a,-0.25
additive,a,-0.25
cumulative,a,0.0
addible,a,0.5
addable,a,0.5
extra,a,-0.20454545454545456
additional,a,0.0
completing,a,0.0
complementary,a,-0.4166666666666667
complemental,a,0.0
incremental,a,0.0
intercalary,a,0.0
summative,a,0.0
summational,a,0.0
supplementary,a,0.0
supplemental,a,0.0
subtractive,a,0.25
ablative,a,0.4166666666666667
reductive,a,-0.625
addressed,a,0.125
self-addressed,a,0.0
unaddressed,a,-0.125
equal,a,0.08333333333333333
adequate,a,0.017045454545454548
up_to,a,0.4166666666666667
equal_to,a,0.125
capable,a,0.009788310396702584
adequate_to,a,0.125
competent,a,0.5
unequal,a,-0.5
inadequate,a,-0.5416666666666666
wanting,a,-0.8333333333333334
lacking,a,-0.625
deficient,a,-0.4943181818181819
unequal_to,a,-0.25
incompetent,a,-0.21535677718588842
incapable,a,-0.28642105263157897
understaffed,a,-0.75
undermanned,a,-0.75
short-staffed,a,-0.75
short-handed,a,-0.75
adhesive,a,-0.25
adherent,a,0.0
agglutinative,a,0.0
agglutinate,a,0.0
bondable,a,0.5
tenacious,a,-0.2556818181818182
coherent,a,0.34240601503759405
cohesive,a,-0.3333333333333333
viscous,a,0.16666666666666666
viscid,a,0.0
sticky,a,-0.02152379025713285
pasty,a,0.0
mucilaginous,a,0.0
gummy,a,-0.08333333333333333
glutinous,a,0.0
gluey,a,0.0
icky,a,-0.5
gooey,a,0.0
gum-like,a,0.0
gummed,a,-0.25
tarry,a,0.0
resiny,a,0.0
resinous,a,0.0
pitchy,a,-0.08333333333333333
self-sealing,a,0.08333333333333333
stick-on,a,-0.5
nonadhesive,a,-0.75
nonviscid,a,-0.625
nonglutinous,a,-0.625
nonresiny,a,-0.5
nonresinous,a,-0.5
non-resiny,a,-0.5
non-resinous,a,-0.5
ungummed,a,-0.75
procedural,a,0.0
adjective,a,0.0
substantive,a,0.045454545454545456
essential,a,0.10757007701813488
adoptable,a,0.75
unadoptable,a,0.0
decorated,a,0.375
adorned,a,0.375
spangly,a,-0.375
spangled,a,-0.375
sequined,a,-0.375
jewelled,a,-0.375
jeweled,a,-0.375
gemmed,a,-0.375
beady,a,-0.25
bedaubed,a,-0.5
spectacled,a,-0.25
monocled,a,-0.25
bespectacled,a,-0.25
raised,a,-0.06818181818181819
embossed,a,0.0
brocaded,a,0.0
buttony,a,-0.08333333333333333
carbuncled,a,-0.5
cloisonne,a,0.0
champleve,a,0.0
tinselly,a,0.0
tinseled,a,0.0
clinquant,a,0.0
plumed,a,-0.4772727272727273
crested,a,-0.16363636363636366
tufted,a,-0.1090909090909091
topknotted,a,0.0
crocketed,a,0.0
plumy,a,-0.45000000000000007
feathery,a,-0.19090909090909094
feathered,a,-0.16666666666666666
ruffled,a,-0.08333333333333333
frilly,a,-0.125
frilled,a,-0.125
fringed,a,-0.022727272727272728
gilt-edged,a,0.5833333333333334
inflamed,a,-0.5590909090909091
inlaid,a,-0.125
inwrought,a,0.0
tessellated,a,-0.08333333333333333
mounted,a,-0.16666666666666666
wainscoted,a,-0.125
paneled,a,-0.125
studded,a,-0.375
tapestried,a,-0.125
tasselled,a,-0.125
tasseled,a,-0.125
tricked-out,a,-0.125
undecorated,a,-0.375
unadorned,a,-0.375
unornamented,a,-0.125
unembellished,a,-0.125
spare,a,-0.07031915198120033
plain,a,-0.10026882165025841
bare,a,-0.06323333035699219
untufted,a,0.0
cholinergic,a,0.0
anticholinergic,a,0.0
adroit,a,0.25
neat,a,0.6147695245439606
ingenious,a,0.625
cunning,a,0.8454545454545457
clever,a,0.5965909090909091
coordinated,a,0.0
co-ordinated,a,0.0
dextrous,a,0.0
dexterous,a,0.0
deft,a,0.0
nimble-fingered,a,0.0
light-fingered,a,0.0
quick-witted,a,0.5
maladroit,a,-0.125
left-handed,a,-0.9687280558423935
heavy-handed,a,-0.5
handless,a,-0.6666666666666666
ham-handed,a,-0.625
ham-fisted,a,-0.625
butterfingered,a,-0.625
bungling,a,-0.9166666666666666
bumbling,a,-0.625
tactless,a,0.16666666666666666
inept,a,-0.24545454545454545
uncoordinated,a,0.0
unmechanical,a,-0.25
nonmechanical,a,-0.3333333333333333
advantageous,a,0.5416666666666666
good,a,0.022796063587370966
beneficial,a,0.625
positive,a,0.012151729264209168
plus,a,0.5
preferential,a,-0.125
discriminatory,a,0.0628421052631579
disadvantageous,a,0.5
negative,a,-0.15632313601620257
minus,a,-0.6666666666666666
adventurous,a,0.375
adventuresome,a,0.375
venturous,a,0.25
venturesome,a,0.25
daring,a,0.25
audacious,a,0.5045454545454546
sporting,a,0.09473684210526317
swashbuckling,a,0.125
swaggering,a,0.3333333333333333
unadventurous,a,-0.125
safe,a,0.08181818181818183
advisable,a,0.625
better,a,0.4336363636363637
best,a,1.0
well,a,1.022727272727273
unadvisable,a,-0.5
inadvisable,a,-0.5
well-advised,a,0.5
advised,a,0.3333333333333333
considered,a,0.0
unadvised,a,-0.041666666666666664
ill-advised,a,-0.125
aerophilous,a,0.0
aerophilic,a,0.0
aerobic,a,0.16666666666666666
aerobiotic,a,0.0
oxidative,a,0.0
anaerobiotic,a,-0.375
anaerobic,a,-0.3333333333333333
esthetical,a,0.625
esthetic,a,0.37500000000000006
aesthetical,a,0.625
aesthetic,a,0.6000000000000001
artistic,a,0.6000000000000001
enhancive,a,0.0
cosmetic,a,0.25
painterly,a,0.25
sensuous,a,0.25
unaesthetic,a,0.0
inaesthetic,a,0.0
unartistic,a,-0.375
inartistic,a,-0.375
affected,a,0.04545454545454546
impressed,a,0.0
struck,a,-0.375
stricken,a,-0.27272727272727276
smitten,a,0.0
stage-struck,a,0.125
subject,a,-0.4772727272727274
taken,a,-0.08333333333333333
wonder-struck,a,-0.5
unaffected,a,-0.022105263157894735
immune,a,-0.42329670329670344
superior,a,0.12565727437386096
unimpressed,a,-0.625
untouched,a,-0.26
unswayed,a,-0.375
uninfluenced,a,-0.375
unnatural,a,-0.5113636363636364
strained,a,-0.1403007518796993
agonistic,a,-0.08181818181818183
stilted,a,-0.25
hokey,a,-0.08333333333333333
contrived,a,0.25
artificial,a,-0.22727272727272727
forced,a,-0.3520879120879122
constrained,a,-0.5
elocutionary,a,-0.16666666666666666
mannered,a,-0.375
plummy,a,0.5833333333333334
natural,a,0.01551773542432672
lifelike,a,0.5833333333333334
unmannered,a,-0.6666666666666666
unselfconscious,a,0.0
unstilted,a,0.0
affirmatory,a,0.5
affirmative,a,0.4431818181818182
assentient,a,0.25
dissident,a,-0.08333333333333333
dissenting,a,-0.625
dissentient,a,-0.4166666666666667
acceptive,a,0.16666666666666666
accepting,a,0.25
rejective,a,-0.375
dismissive,a,-0.3333333333333333
repudiative,a,0.0
afloat,a,0.20454545454545456
adrift,a,0.25
floating,a,-0.033520656957829846
waterborne,a,0.0
aground,a,0.0
afraid,a,-0.2427272727272728
acrophobic,a,-0.75
afeared,a,-0.125
afeard,a,-0.125
shocked,a,0.25
dismayed,a,0.25
appalled,a,0.25
aghast,a,0.25
agoraphobic,a,-0.75
alarmed,a,-0.625
algophobic,a,-0.875
apprehensive,a,-0.3681818181818182
hangdog,a,0.08333333333333333
claustrophobic,a,-0.5833333333333334
fearful,a,-0.1823805685969494
scared,a,-0.125
frightened,a,-0.08333333333333333
horror-struck,a,-0.25
horror-stricken,a,-0.25
horrified,a,-0.25
hunted,a,0.5
hydrophobic,a,-0.9166666666666666
aquaphobic,a,-0.75
mysophobic,a,-0.75
terrified,a,0.0
panicky,a,0.0
panicked,a,0.0
panic-struck,a,0.0
panic-stricken,a,0.0
